127.0.0.1 - - [14/Jan/2020:20:50:42 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:57:35 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:57:40 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:57:40 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:58:25 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:59:42 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:00:57 +0530] "GET /demo/register.jsp?username=ankita&password=rangoli&name=ankita+mishra&dob=2001-12-24&sex=female&bg=apos&mail=mishraankita0102%40gmail.com&city=bhagalpur&address=resham+nagar+colony+zero+mile&phone=9123178327 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:13 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:13 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:15 +0530] "GET /demo/camp.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:23 +0530] "GET /demo/profile.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:42 +0530] "GET /demo/camp.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:50 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:01:56 +0530] "GET /demo/checkavailability.jsp?id=bangalore%20blood%20bank HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:02:00 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:02:07 +0530] "GET /demo/profile.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:02:25 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:02:25 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:02:27 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:10 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:36 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:50 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:50 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:06:53 +0530] "GET /demo/camp.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:07:15 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:07:21 +0530] "GET /demo/checkavailability.jsp?id=bangalore%20blood%20bank HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:07:24 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:07:43 +0530] "GET /demo/profile.jsp HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:08:48 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:08:48 +0530] "GET /demo/adminlogin.html HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:09:02 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:09:02 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:09:30 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:09:51 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:09:54 +0530] "GET /demo/bankupdate.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [14/Jan/2020:21:10:08 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2399
